what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963529687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963534218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963534859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963534859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963534859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963539609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963540312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963570296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333963575031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963581812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963617453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333963620421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963622531
